Date : 2021-05-03 14:37:03
Directory : e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets
Total : 176 files,  44962 codes, 25144 comments, 8009 blanks, all 78115 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        175 |     44,941 |     25,144 |      8,008 |     78,093 |
| XML      |          1 |         21 |          0 |          1 |         22 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                         |        176 |     44,962 |     25,144 |      8,009 |     78,115 |
| PlayFabEditorExtensions                                                                                                                                   |         28 |      5,578 |        385 |        820 |      6,783 |
| PlayFabEditorExtensions\Editor                                                                                                                            |         28 |      5,578 |        385 |        820 |      6,783 |
| PlayFabEditorExtensions\Editor\Scripts                                                                                                                    |         27 |      5,219 |        371 |        759 |      6,349 |
| PlayFabEditorExtensions\Editor\Scripts\Components                                                                                                         |          6 |        574 |         13 |         88 |        675 |
| PlayFabEditorExtensions\Editor\Scripts\Panels                                                                                                             |          9 |      1,532 |         36 |        262 |      1,830 |
| PlayFabEditorExtensions\Editor\Scripts\PlayFabEditorSDK                                                                                                   |          5 |      2,346 |        281 |        289 |      2,916 |
| PlayFabEditorExtensions\Editor\Scripts\Utils                                                                                                              |          7 |        767 |         41 |        120 |        928 |
| PlayFabSDK                                                                                                                                                |        100 |     37,095 |     24,043 |      6,481 |     67,619 |
| PlayFabSDK\Admin                                                                                                                                          |          4 |      5,773 |      3,967 |        830 |     10,570 |
| PlayFabSDK\Authentication                                                                                                                                 |          4 |        205 |        108 |         39 |        352 |
| PlayFabSDK\Client                                                                                                                                         |          5 |      6,168 |      5,372 |      1,108 |     12,648 |
| PlayFabSDK\CloudScript                                                                                                                                    |          4 |        880 |        542 |        113 |      1,535 |
| PlayFabSDK\Data                                                                                                                                           |          4 |        338 |        294 |         70 |        702 |
| PlayFabSDK\Entity                                                                                                                                         |          1 |        149 |         57 |         41 |        247 |
| PlayFabSDK\Events                                                                                                                                         |          4 |        138 |         84 |         33 |        255 |
| PlayFabSDK\Experimentation                                                                                                                                |          4 |        539 |        472 |        107 |      1,118 |
| PlayFabSDK\Groups                                                                                                                                         |          4 |        820 |        759 |        170 |      1,749 |
| PlayFabSDK\Insights                                                                                                                                       |          4 |        257 |        192 |         56 |        505 |
| PlayFabSDK\Localization                                                                                                                                   |          4 |        103 |         32 |         27 |        162 |
| PlayFabSDK\Matchmaker                                                                                                                                     |          4 |        256 |        214 |         52 |        522 |
| PlayFabSDK\Multiplayer                                                                                                                                    |          4 |      2,546 |      2,577 |        460 |      5,583 |
| PlayFabSDK\Profiles                                                                                                                                       |          4 |        359 |        321 |         73 |        753 |
